MDS1,MDS2,pval,annotation,tool,GCA_000167675,GCA_000170995,GCA_000171015,GCA_000513815,GCA_000988865,GCA_001050175,GCA_001481775,GCA_002022785,GCA_002838845,GCA_002894145,GCA_002894205,GCA_003012105,GCA_003025095,GCA_003025105,GCA_003025115,GCA_003025155,GCA_004303015,GCA_011066345,GCA_011799845,ICBG1054,ICBG1065,ICBG1075,ICBG1096,ICBG2046,ICBG2047,ICBG2048,ICBG2049,ICBG710,ICBG712,ICBG721,ICBG726,ICBG730,ICBG731,ICBG733,ICBG736,ICBG742,ICBG751,LGSR00000000,NIGB00000000,NIGC00000000,NIGD00000000,NQYQ00000000,NQYR00000000,NQYS00000000,SPDT00000000
-0.32589577792224034,-0.0928563440265592,0.24375624375624375,1433,Virulence Genes,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2
0,-0,1,A0JC82,Virulence Genes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.4226351023196836,0.33574994766421457,0.023976023976023976,A0ST41,Virulence Genes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,1,1,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
-0.6502070010016854,-0.07735432397998586,0.002997002997002997,A0ST42,Virulence Genes,4,6,8,3,8,6,9,7,9,4,6,8,9,8,5,3,7,9,8,4,4,3,2,4,5,3,3,3,4,5,4,3,2,2,2,2,2,3,3,2,3,3,3,3,3
0.28269297665044063,0.4735229586797908,0.028971028971028972,A0ST43,Virulence Genes,3,7,3,3,4,3,3,5,5,5,3,8,5,3,5,3,9,5,12,3,2,2,3,3,3,4,3,1,1,1,3,1,3,3,3,4,3,4,4,4,3,4,4,4,5
0.5290129871017065,0.34407502464485196,0.005994005994005994,A0ST44,Virulence Genes,4,8,8,4,10,4,9,12,13,13,11,10,12,9,3,4,3,10,1,1,1,1,2,1,1,1,1,1,0,0,1,1,2,2,2,1,2,1,1,1,2,1,1,1,2
0.3427119569099907,-0.03768841299252354,0.23676323676323677,A0ST45,Virulence Genes,2,2,3,2,0,2,2,0,0,1,2,3,0,3,2,2,2,0,2,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,2,1,1
0.049311660853784314,-0.03314889113580037,0.9200799200799201,A0ST46,Virulence Genes,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.014707707330977817,-0.3958839044128214,0.12687312687312688,A0SXQ6,Virulence Genes,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1
0.5689533675382831,-0.11369781009388348,0.015984015984015984,A3F9N0,Virulence Genes,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,2,2,2,1,1,1,0,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
