genome,min,max,kat_est_gs,coverage,check,note
710,15736985,15780794,37708900,51.5065446,bad,
712,23541887,23573894,29996330,27.0696674,pass,
721,26904732,26925599,26590494,31.00989835,pass,
726,18853379,18863977,19026076,36.9165325,bad,check
731,21918967,21948794,25554559,29.50566086,pass,check
736,25573842,25587465,26475086,31.17532671,pass,
742,21027237,21053829,24987261,25.07061461,pass,
751,23688504,23706079,25837007,26.86294857,pass,
1065,18905422,18922642,22809947,30.25934936,pass,
1075,6500437,6653813,48428631,51.94401676,bad,
2046,23662619,23689132,23418958,111.1238382,pass,
2047,24689627,24710320,24886728,94.04369142,pass,
2048,15702597,15774187,15541132,102.9219846,bad,
2049,14754091,14857434,55971639,125.6166513,bad,
LGSR00000000,25176283,25187447,25463485,57.33290468,pass,
NIGB00000000,25452373,25477195,25283324,79.72534531,pass,
NIGC00000000,27848531,27885873,29791854,29.67717468,pass,
NIGD00000000,13225818,13403975,38894248,60.81025412,bad,
NQYQ00000000,28716711,28734209,29259418,34.06652875,pass,
NQYR00000000,28431638,28446683,28683680,41.46486805,pass,
NQYS00000000,12698,12766,0,13417.28247,bad,
