Gene	MobiDBLite	Coils	interpro	GO	CDD	Gene3D	SUPERFAMILY	ProSiteProfiles	Pfam	SMART	ProSitePatterns	PATHWAY	TIGRFAM	PRINTS	Hamap	PIRSF	SFLD
PNP49471.1	mobidb-lite	Coil	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	cd00067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP51674.1	mobidb-lite	NA	IPR036259	GO:0055085	cd17333	G3DSA:1.20.1250.20	SSF103473	PS50850	PF07690	NA	NA	NA	NA	NA	NA	NA	NA
PNP45206.1	mobidb-lite	NA	IPR016137	NA	cd07440	G3DSA:1.20.58.1850	SSF48097	PS50132	PF00615	SM00315	NA	NA	NA	NA	NA	NA	NA
PNP57826.1	mobidb-lite	Coil	IPR012966	NA	cd13278	G3DSA:2.30.29.30	SSF50729	PS50003	PF08174;PF00169	SM00233	NA	NA	NA	NA	NA	NA	NA
PNP57781.1	NA	NA	IPR014718	GO:0030246;GO:0005975;GO:0016853;GO:0003824	cd09019	G3DSA:2.70.98.10	SSF74650	NA	PF01263	NA	NA	NA	NA	NA	NA	NA	NA
PNP58034.1	NA	Coil	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	cd12148	G3DSA:4.10.240.10	SSF57701	PS50048	PF00172;PF04082	SM00066	PS00463	NA	NA	NA	NA	NA	NA
PNP49738.1	NA	NA	IPR009668	GO:0003677;GO:0006351;GO:0042025	NA	NA	NA	NA	PF06870	NA	NA	Reactome: R-HSA-427413|Reactome: R-HSA-5250924|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73863	NA	NA	NA	NA	NA
PNP58101.1	NA	NA	IPR036322	GO:0005515	NA	G3DSA:2.130.10.10	SSF50978	PS50082;PS50294	PF00400	SM00320	PS00678	NA	NA	NA	NA	NA	NA
PNP47801.1	mobidb-lite	NA	IPR031325	NA	NA	NA	NA	NA	PF05593	NA	NA	NA	NA	NA	NA	NA	NA
PNP49410.1	NA	NA	IPR041677	NA	cd18808;cd18039	G3DSA:3.40.50.300	SSF52540	NA	PF13086;PF13087	NA	NA	NA	NA	NA	NA	NA	NA
PNP52270.1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP49358.1	mobidb-lite	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	cd00067	NA	SSF57701	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP49555.1	mobidb-lite	NA	IPR021100	GO:0005789;GO:0034599	NA	NA	NA	NA	PF12326	NA	NA	NA	NA	NA	NA	NA	NA
PNP55444.1	mobidb-lite	NA	IPR012681	GO:0016020;GO:0022857;GO:0055085	cd11482	G3DSA:1.10.4160.10	NA	NA	PF02133	NA	NA	NA	TIGR00800	NA	NA	NA	NA
PNP51160.1	mobidb-lite	Coil	IPR013183		NA	NA	NA	NA	PF08227	NA	NA	Reactome: R-HSA-162658	NA	NA	NA	NA	NA
PNP59071.1	mobidb-lite	NA	IPR032821	GO:0031177;GO:0055114;GO:0016491;GO:0003824;GO:0016740	cd02440;cd00833;cd05195	G3DSA:3.30.70.3290;G3DSA:3.40.50.720;G3DSA:3.40.50.150;G3DSA:3.40.47.10;G3DSA:3.40.366.10;G3DSA:3.10.129.110;G3DSA:1.10.1200.10;G3DSA:3.90.180.10	SSF53335;SSF51735;SSF53901;SSF50129;SSF47336;SSF55048;SSF52151	PS50075	PF16197;PF14765;PF08240;PF02801;PF00698;PF00109;PF08659;PF08242;PF13602	SM00823;SM00829;SM00822;SM00826;SM00827;SM00825	PS00606;PS00012	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	NA	NA	NA	NA	NA
PNP44184.1	mobidb-lite	Coil	IPR021950	GO:0000124;GO:0003712	NA	NA	NA	NA	PF12090	NA	NA	NA	NA	NA	NA	NA	NA
