Gene	CDD	interpro	GO	Pfam	Gene3D	SUPERFAMILY	SMART	MobiDBLite	PATHWAY	ProSiteProfiles	ProSitePatterns	PRINTS	Coils	TIGRFAM	PIRSF	Hamap	SFLD
PON30782.1	cd13965	IPR000537	GO:0016021;GO:0016765	PF01040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20370.1	cd08276	IPR013154	GO:0055114;GO:0016491	PF08240;PF00107	G3DSA:3.90.180.10;G3DSA:3.40.50.720	SSF51735;SSF50129	SM00829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28886.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21938.1	NA	IPR023213	GO:0016747	PF02458	G3DSA:3.30.559.10	NA	NA	NA	Reactome: R-HSA-389661	NA	NA	NA	NA	NA	NA	NA	NA
PON23003.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29072.1	NA	IPR036852	GO:0004252;GO:0006508	NA	G3DSA:3.40.50.200	SSF52743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21750.1	NA	IPR013087	GO:0003676	PF00096	G3DSA:3.30.160.60	SSF57667	SM00355	mobidb-lite	NA	PS50157	PS00028	NA	NA	NA	NA	NA	NA
PON22785.1	NA	IPR018607	GO:0007064;GO:0031390	PF09696	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20503.1	cd00009	IPR041048	GO:0003678;GO:0005524	PF17856;PF06068	G3DSA:1.10.8.60	SSF52540	SM00382	NA	Reactome: R-HSA-171319|Reactome: R-HSA-3214847	NA	NA	NA	NA	NA	NA	NA	NA
PON27184.1	NA	IPR002347	NA	PF00106	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA
PON26603.1	cd02253	IPR016117		PF03576	G3DSA:3.60.70.12	SSF56266	NA	NA	KEGG: 00220+2.3.1.35+2.3.1.1|MetaCyc: PWY-5154	NA	NA	NA	Coil	NA	NA	NA	NA
PON31027.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON26587.1	cd11692	IPR038744	NA	PF16815	G3DSA:2.40.128.320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21920.1	cd13895	IPR002355	GO:0005507;GO:0016491;GO:0055114	PF07731;PF00394;PF07732	G3DSA:2.60.40.420	SSF49503	NA	NA	NA	NA	PS00080;PS00079	NA	NA	TIGR03390	NA	NA	NA
PON22603.1	cd12148	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23975.1	NA	IPR013715	NA	PF08508	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21250.1	NA	IPR004140	GO:0000145;GO:0006887	PF03081	G3DSA:1.20.1280.170	SSF74788	NA	NA	Reactome: R-HSA-1445148|Reactome: R-HSA-264876|Reactome: R-HSA-5620916	NA	NA	NA	NA	NA	NA	NA	NA
PON21676.1	NA	IPR020904	GO:0016491	PF00106	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	PS00061	NA	NA	NA	NA	NA	NA
PON24793.1	cd17356	IPR003663	GO:0016020;GO:0022857;GO:0055085;GO:0016021	PF00083	G3DSA:1.20.1250.20	SSF103473	NA	NA	Reactome: R-HSA-189200	PS50850	PS00217;PS00216	PR00171	NA	TIGR00879	NA	NA	NA
PON20084.1	cd02440	IPR041698	NA	PF13649	G3DSA:3.40.50.150	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27948.1	cd15534;cd15535	IPR011011	NA	PF00628	G3DSA:2.30.30.1150;G3DSA:3.30.40.10	SSF57903	SM00249	mobidb-lite	NA	PS50016	PS01359	NA	NA	NA	NA	NA	NA
PON27031.1	NA	IPR002125	GO:0003824	PF18785	G3DSA:3.40.140.10	SSF53927	NA	NA	NA	PS51747	NA	NA	NA	NA	NA	NA	NA
PON26424.1	NA	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	PF00067	G3DSA:1.10.630.10	SSF48264	NA	NA	NA	NA	NA	PR00465;PR00385	NA	NA	NA	NA	NA
PON22703.1	cd00590	IPR035979	GO:0003676	PF00076	G3DSA:3.30.70.330	SSF54928	SM00360	mobidb-lite	NA	PS50102	NA	NA	NA	NA	NA	NA	NA
PON26229.1	NA	IPR022782	GO:0005519;GO:0051125	PF03915	G3DSA:1.20.58.1540	NA	SM00806	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON22333.1	cd11377;cd04056	IPR036852	GO:0004252;GO:0006508;GO:0008236	PF00082;PF09286	G3DSA:3.40.50.200	SSF54897;SSF52743	SM00944	NA	Reactome: R-HSA-381038	PS51695	NA	NA	NA	NA	NA	NA	NA
PON27217.1	NA	IPR002110	GO:0005515	PF05729;PF17100;PF00023;PF12796	G3DSA:3.40.50.300;G3DSA:1.25.40.20	SSF48403;SSF52540	SM00248	mobidb-lite	NA	PS50088;PS50297	NA	PR01415	NA	NA	NA	NA	NA
PON21388.1	NA	IPR016712	NA	PF11709	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21872.1	NA	IPR028217	NA	PF14615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25646.1	NA	IPR011042	GO:0003824	NA	G3DSA:2.120.10.30	SSF50952	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26573.1	NA	IPR004648	GO:0055085	PF03169	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	TIGR00727;TIGR00728	NA	NA	NA
PON25332.1	cd04056	IPR030400	GO:0006508;GO:0004252	NA	G3DSA:3.40.50.200	SSF52743	NA	NA	Reactome: R-HSA-381038	PS51695	NA	NA	NA	NA	NA	NA	NA
