Gene	interpro	GO	ProSiteProfiles	Pfam	Gene3D	MobiDBLite	SUPERFAMILY	SMART	Coils	CDD	PRINTS	ProSitePatterns	PATHWAY	PIRSF	TIGRFAM	Hamap	SFLD
PTB55080.1	IPR000504	GO:0003676	PS50102	PF00076	G3DSA:3.30.70.330	mobidb-lite	SSF54928	SM00360	Coil	cd12320	NA	NA	NA	NA	NA	NA	NA
PTB55285.1	IPR001623	GO:0003676;GO:0008270	PS50157;PS50076	PF00226;PF12171	G3DSA:1.10.287.110;G3DSA:3.30.160.60	mobidb-lite	SSF57667;SSF46565	SM00271;SM00451	NA	cd06257	PR00625	PS00636;PS00028	NA	NA	NA	NA	NA
PTB54838.1	IPR008854	GO:0008757	PS51585	PF05724	G3DSA:3.40.50.150	NA	SSF53335	NA	NA	cd02440	NA	NA	KEGG: 00983+2.1.1.67|Reactome: R-HSA-156581|Reactome: R-HSA-5578995	NA	NA	NA	NA
PTB52306.1	IPR014908		NA	PF08801;PF03177	G3DSA:1.25.40.440;G3DSA:1.20.120.1880;G3DSA:1.25.40.450;G3DSA:1.20.58.1780	mobidb-lite	SSF75011	NA	Coil	NA	NA	NA	Reactome: R-HSA-1169408|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5619107|Reactome: R-HSA-6784531	NA	NA	NA	NA
PTB53475.1	IPR008030		NA	PF05368	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA
PTB51032.1	IPR006140	GO:0051287;GO:0055114;GO:0016616	PS51671	PF02826;PF00389	G3DSA:3.30.70.260;G3DSA:3.40.50.720	NA	SSF55021;SSF52283;SSF51735	NA	NA	cd12176	NA	PS00670;PS00671;PS00065	NA	NA	NA	NA	NA
PTB58270.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52606.1	IPR006671	GO:0042025	NA	PF00134;PF02984	G3DSA:1.10.472.10	mobidb-lite	SSF47954	SM01332;SM00385	NA	cd00043	NA	PS00292	NA	NA	NA	NA	NA
PTB55836.1	IPR011009	NA	NA	PF03109	NA	NA	SSF56112	NA	NA	cd13971	NA	NA	NA	NA	NA	NA	NA
PTB53094.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60430.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49334.1	IPR028217	NA	NA	PF14615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47578.1	IPR016161	GO:0016491;GO:0055114;GO:0016620	NA	PF00171	G3DSA:3.40.309.10;G3DSA:3.40.605.10	NA	SSF53720	NA	NA	NA	NA	PS00687	NA	NA	NA	NA	NA
PTB59404.1	IPR008775	NA	NA	PF05721	G3DSA:2.60.120.620	NA	SSF51197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49471.1	IPR007248	GO:0016021	NA	PF04117	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54680.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	PS50011	PF00069	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	SSF56112	NA	NA	cd00180	NA	NA	NA	NA	NA	NA	NA
PTB56932.1	IPR000683	GO:0016491	NA	PF01408	G3DSA:3.30.360.10;G3DSA:3.40.50.720	NA	SSF55347;SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50998.1	IPR036291	GO:0003854;GO:0006694;GO:0016616;GO:0055114	NA	PF01073	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59564.1	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB50071.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54004.1	IPR026590	GO:0070403	PS50305	PF02146	G3DSA:3.40.50.1220;G3DSA:3.30.1600.10	mobidb-lite	SSF52467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56813.1	IPR036638	GO:0046983	PS50888	PF00010	G3DSA:4.10.280.10	mobidb-lite	SSF47459	SM00353	Coil	cd00083	NA	NA	NA	NA	NA	NA	NA
PTB57825.1	IPR006553	NA	NA	NA	G3DSA:3.80.10.10	mobidb-lite	SSF52047	SM00367	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47682.1	IPR006575	GO:0005515;GO:0003824;GO:0009116	PS50908	PF05773	G3DSA:3.10.110.10	NA	SSF53167	NA	NA	cd09008	NA	NA	NA	NA	NA	NA	NA
PTB56626.1	IPR017075	GO:0004484;GO:0006370;GO:0031533	NA	PF03919;PF01331	G3DSA:3.30.470.30;G3DSA:2.40.50.140	NA	SSF50249;SSF56091	NA	NA	cd07895	NA	NA	MetaCyc: PWY-7375	PIRSF036959	NA	NA	NA
PTB48752.1	IPR011761	GO:0005524;GO:0046872	PS50975;PS50979;PS50968	PF02786;PF00364;PF00289;PF02626;PF01425;PF02682;PF02785	G3DSA:2.40.100.10;G3DSA:3.30.1360.40;G3DSA:2.40.50.100;G3DSA:3.10.490.10;G3DSA:3.30.470.130;G3DSA:1.20.58.1700;G3DSA:3.90.1300.10	NA	SSF75304;SSF50891;SSF51230;SSF56059;SSF160467;SSF51246;SSF52440	SM00797;SM00878;SM00796	NA	cd06850	NA	PS00866;PS00867	KEGG: 00970+6.3.5.7	NA	TIGR02712;TIGR02713	NA	NA
PTB53003.1	IPR000683	GO:0016491	NA	PF01408	G3DSA:3.40.50.720;G3DSA:3.30.360.10	NA	SSF55347;SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54285.1	IPR022812	GO:0003924;GO:0005525	PS51718;PS51388	PF00350;PF01031	G3DSA:3.40.50.300	mobidb-lite	SSF52540	SM00053	Coil	cd08771	PR00195	NA	NA	NA	NA	NA	NA
PTB49050.1	IPR016163	GO:0016491;GO:0016620;GO:0055114	NA	PF00171	G3DSA:3.40.309.10;G3DSA:3.40.605.10	NA	SSF53720	NA	NA	cd07103	NA	NA	NA	NA	NA	NA	NA
PTB57965.1	IPR006076	GO:0016491;GO:0055114	PS51257	PF01266	G3DSA:3.50.50.60;G3DSA:3.30.9.10	NA	SSF51905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49022.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	PF11951;PF00172	G3DSA:4.10.240.10	NA	SSF57701	SM00066	NA	cd00067	NA	PS00463	NA	NA	NA	NA	NA
PTB57703.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58884.1	IPR005123	GO:0016491;GO:0055114;GO:0005506;GO:0016705;GO:0031418	PS51471	PF13640	G3DSA:2.60.120.620	NA	NA	SM00702	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59577.1	IPR022024	NA	NA	PF12223	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB48075.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52173.1	IPR036568	NA	NA	PF06094	G3DSA:3.10.490.10	NA	SSF110857	NA	NA	cd06661	NA	NA	NA	NA	NA	NA	NA
PTB51733.1	IPR029061	GO:0016624;GO:0004739;GO:0006086;GO:0043231	NA	PF00676	G3DSA:3.40.50.970	NA	SSF52518	NA	NA	cd02000	NA	NA	Reactome: R-HSA-389661	NA	TIGR03182	NA	NA
PTB55290.1	IPR000014	GO:0006355;GO:0008270;GO:0043565;GO:0005515	PS50112;PS50114	PF00320;PF08446;PF13426;PF08447	G3DSA:3.30.450.20;G3DSA:3.30.50.10	mobidb-lite	SSF55785;SSF57716	SM00086;SM00401;SM00091	NA	cd00130;cd00202	NA	PS00344	Reactome: R-HSA-383280	NA	TIGR00229	NA	NA
PTB53268.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB51664.1	IPR036322	GO:0005515	NA	NA	NA	NA	SSF50978	NA	Coil	NA	NA	PS00678	NA	NA	NA	NA	NA
PTB56908.1	IPR003846	NA	NA	PF02696	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB52340.1	IPR036874	GO:0004089;GO:0008270	NA	NA	G3DSA:3.40.1050.10	NA	SSF53056	SM00947	NA	NA	NA	NA	KEGG: 00910+4.2.1.1|MetaCyc: PWY-241|MetaCyc: PWY-5743|MetaCyc: PWY-5744|MetaCyc: PWY-5789|MetaCyc: PWY-6142|MetaCyc: PWY-7115|MetaCyc: PWY-7117	NA	NA	NA	NA
PTB56260.1	IPR003114	GO:0035091;GO:0006400;GO:0008176	PS51207;PS50132;PS50195;PS51625	PF00615;PF02194;PF02390;PF08628;PF00787	G3DSA:3.30.1520.10;G3DSA:1.20.58.1850;G3DSA:3.40.50.150	mobidb-lite	SSF48097;SSF64268;SSF53335	SM00313;SM00312;SM00315	Coil	cd02440;cd06876	NA	NA	Reactome: R-HSA-6782315	NA	TIGR00091	MF_03055	NA
PTB52698.1	IPR001678	GO:0008168;GO:0003723;GO:0006364;GO:0008757	PS51686	PF01189;PF17125	G3DSA:3.40.50.150;G3DSA:3.30.70.3130	mobidb-lite	SSF53335	NA	NA	cd02440	PR02008;PR02012	PS01153	Reactome: R-HSA-6790901|Reactome: R-HSA-8869496	NA	TIGR00446	NA	NA
PTB59776.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB60554.1	IPR020846	GO:0016021;GO:0022857;GO:0055085;GO:0016020	PS50850	PF00083	G3DSA:1.20.1250.20	NA	SSF103473	NA	NA	cd17356	PR00171	PS00216	Reactome: R-HSA-189200	NA	TIGR00879	NA	NA
PTB58328.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	PF04082;PF00172	G3DSA:4.10.240.10	mobidb-lite	SSF57701	SM00066;SM00906	NA	cd00067;cd12148	NA	PS00463	NA	NA	NA	NA	NA
PTB53154.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB57991.1	IPR025702		NA	PF13816	NA	NA	NA	NA	NA	NA	NA	NA	KEGG: 00460+4.99.1.7|KEGG: 00643+4.99.1.7|MetaCyc: PWY-7824	NA	NA	NA	NA
PTB53341.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB56095.1	IPR013087	GO:0003676	PS50157	PF00096	G3DSA:3.30.160.60	mobidb-lite	SSF57667	SM00355	NA	NA	NA	PS00028	NA	NA	NA	NA	NA
PTB49304.1	IPR000462	GO:0008654;GO:0016020;GO:0016780	NA	PF01066	G3DSA:1.20.120.1760	mobidb-lite	NA	NA	NA	NA	NA	PS00379	KEGG: 00260+2.7.8.8|KEGG: 00564+2.7.8.8|MetaCyc: PWY-5669	PIRSF000852	TIGR00473	NA	NA
PTB61154.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB54724.1	IPR007111	GO:0005515	PS50088;PS50837;PS50297	PF05729;PF12796;PF13857	G3DSA:1.25.40.20;G3DSA:3.40.50.300	NA	SSF52540;SSF48403	SM00248	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58964.1	IPR013083	GO:0000439;GO:0006289;GO:0006351;GO:0003676;GO:0006281;GO:0008270	PS50157;PS50234	PF04056;PF07975	G3DSA:3.30.40.10;G3DSA:3.40.50.410	mobidb-lite	SSF57889;SSF53300	SM00327;SM01047	NA	cd01453	NA	PS00028	NA	PIRSF015919	TIGR00622	NA	NA
PTB57605.1	IPR006195	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004829;GO:0005737;GO:0006435;GO:0043039	PS50862	PF03129;PF00587;PF02824;PF07973	G3DSA:3.30.930.10;G3DSA:3.10.20.30;G3DSA:3.30.980.10;G3DSA:3.40.50.800	mobidb-lite	SSF81271;SSF55681;SSF52954;SSF55186	SM00863	NA	cd00771;cd01667;cd00860	PR01047	NA	KEGG: 00970+6.1.1.3	NA	TIGR00418	MF_00184	NA
PTB51621.1	IPR021047	NA	NA	PF11735	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59566.1	IPR003891	GO:0003723;GO:0005515	PS51366	PF02847;PF02854	G3DSA:1.25.40.180	mobidb-lite	SSF48371	SM00543;SM00544	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB60573.1	IPR008942	GO:0005543;GO:0003779	PS50942;PS50945	PF07651;PF01608	G3DSA:1.25.40.90;G3DSA:1.20.1410.10	mobidb-lite	SSF89009;SSF109885;SSF48464	SM00307;SM00273	Coil	cd17007	NA	NA	Reactome: R-HSA-8856828	NA	NA	NA	NA
PTB55753.1	IPR017907	NA	PS51873;PS50089	PF01485	G3DSA:3.30.40.10;G3DSA:1.20.120.1750	NA	SSF57850	NA	Coil	NA	NA	PS00518	NA	NA	NA	NA	NA
PTB58488.1	IPR036291		NA	PF05368	G3DSA:3.40.50.720;G3DSA:3.90.25.10	NA	SSF51735	NA	NA	NA	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA
PTB51472.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	NA	G3DSA:4.10.240.10	NA	SSF57701	NA	NA	cd12148;cd00067	NA	PS00463	NA	NA	NA	NA	NA
PTB57220.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	NA	G3DSA:4.10.240.10	NA	SSF57701	SM00066	NA	cd00067	NA	PS00463	NA	NA	NA	NA	NA
PTB48385.1	IPR010730	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48088.1	IPR013536	NA	PS51397	PF08325	NA	mobidb-lite	NA	NA	NA	cd07344	NA	NA	NA	NA	NA	NA	NA
PTB51410.1	IPR036291	NA	NA	PF00106	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	cd05233	PR00081	NA	NA	NA	NA	NA	NA
PTB52668.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	cd18808	NA	NA	NA	NA	NA	NA	NA
PTB58174.1	IPR010636	GO:0005576	NA	PF06766	G3DSA:3.20.120.10	NA	SSF101751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48264.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49584.1	IPR011032	GO:0055114;GO:0016491	NA	PF08240;PF00107	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	SSF50129;SSF51735	SM00829	NA	cd08276	NA	NA	NA	NA	NA	NA	NA
PTB57208.1	IPR002397	GO:0005506;GO:0020037;GO:0055114;GO:0016705	NA	PF00067	G3DSA:1.10.630.10	NA	SSF48264	NA	NA	NA	PR00359	PS00086	NA	NA	NA	NA	NA
PTB59585.1	IPR013497	GO:0003677;GO:0003916;GO:0006265	PS50880	PF01751;PF01131	G3DSA:2.70.20.10;G3DSA:1.10.460.10;G3DSA:3.40.50.140;G3DSA:1.10.290.10	mobidb-lite	SSF56712	SM00493;SM00436;SM00437	NA	cd00186;cd03362	PR00417	NA	NA	NA	NA	NA	NA
PTB57942.1	IPR036855	GO:0046872;GO:0003676;GO:0003723	PS50102;PS50103	PF00076;PF16131	G3DSA:3.30.70.330	mobidb-lite	SSF90229;SSF54928	SM00360	NA	cd12360	NA	NA	NA	NA	NA	NA	NA
PTB53801.1	IPR004240	GO:0016021	NA	PF02990	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB57232.1	IPR002347	NA	NA	PF00106	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	PR00080;PR00081	NA	NA	PIRSF000126	NA	NA	NA
PTB59601.1	IPR018266	GO:0003735;GO:0005840;GO:0006412	NA	PF01247	G3DSA:2.40.10.190	NA	SSF50447	NA	NA	NA	NA	PS01105	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	MF_00573	NA
PTB60344.1	IPR000182	GO:0008080	PS51186	PF00583	G3DSA:3.40.630.30	NA	SSF55729	NA	NA	cd04301	NA	NA	NA	NA	NA	NA	NA
PTB57081.1	IPR000210	GO:0005515	PS50097	PF00651	NA	mobidb-lite	SSF54695	NA	NA	cd18186	NA	NA	NA	NA	NA	NA	NA
PTB58090.1	IPR002821	GO:0016787;GO:0003824	NA	PF01968;PF05378;PF02538	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	Reactome: R-HSA-174403|Reactome: R-HSA-5578998	NA	NA	NA	NA
PTB53374.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54166.1	NA	NA	NA	NA	G3DSA:3.40.50.11350	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51414.1	IPR010349	NA	NA	PF06089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52226.1	IPR000612	GO:0016021	NA	PF01679	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56747.1	IPR000530	GO:0003735;GO:0005840;GO:0006412	NA	PF01248	G3DSA:3.30.1330.30	mobidb-lite	SSF55315	NA	NA	NA	PR00972	PS01189	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA
PTB57905.1	IPR031100	NA	NA	PF03641	G3DSA:3.40.50.450	NA	SSF102405	NA	NA	NA	NA	NA	NA	NA	TIGR00730	NA	NA
PTB53311.1	IPR008146	GO:0004356;GO:0006807;GO:0006542;GO:0003824	NA	PF00120;PF03951	G3DSA:3.30.590.40;G3DSA:3.10.20.70	NA	SSF55931;SSF54368	SM01230	NA	NA	NA	PS00180;PS00181	KEGG: 00220+6.3.1.2|KEGG: 00250+6.3.1.2|KEGG: 00630+6.3.1.2|KEGG: 00910+6.3.1.2|MetaCyc: PWY-381|MetaCyc: PWY-5675|MetaCyc: PWY-6549|MetaCyc: PWY-6963|MetaCyc: PWY-6964	NA	NA	NA	NA
PTB59590.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50492.1	IPR021833	NA	NA	PF11905	G3DSA:1.20.5.170	mobidb-lite	NA	NA	Coil	cd14688	NA	NA	NA	NA	NA	NA	NA
PTB60892.1	IPR000757	GO:0004553;GO:0005975	PS51762;PS51212	PF01822	G3DSA:2.60.120.200	mobidb-lite	SSF49899	SM00321	NA	cd02181	NA	NA	NA	NA	NA	NA	NA
PTB49340.1	IPR001374	GO:0003676	PS51061;PS50174	PF01424;PF01585	G3DSA:3.30.1370.50	mobidb-lite	SSF82708	SM00393;SM00443	NA	cd02646	NA	NA	NA	NA	NA	NA	NA
PTB60812.1	IPR013632	GO:0003677;GO:0005524;GO:0006281;GO:0008094	PS50162	PF08423	G3DSA:3.40.50.300	mobidb-lite	SSF52540	NA	NA	NA	NA	NA	Reactome: R-HSA-5685942|Reactome: R-HSA-5693554|Reactome: R-HSA-5693568|Reactome: R-HSA-5693579	NA	NA	NA	NA
PTB48609.1	IPR029069		NA	PF03061	G3DSA:3.10.129.10	NA	SSF54637	NA	NA	cd03443	NA	NA	Reactome: R-HSA-77289	NA	NA	NA	NA
PTB54386.1	IPR029058	NA	NA	PF12697	G3DSA:3.40.50.1820	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54251.1	IPR001375	GO:0006508;GO:0008236	NA	PF00326	G3DSA:2.120.10.30;G3DSA:3.40.50.1820	NA	SSF82171;SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55062.1	IPR019956	GO:0005515	PS50053	PF00240	G3DSA:3.10.20.90	NA	SSF54236	SM00213	NA	cd01803	PR00348	PS00299	NA	NA	NA	NA	NA
PTB54272.1	IPR011990	GO:0005515	NA	NA	G3DSA:1.25.40.10	mobidb-lite	SSF48452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51223.1	IPR036397	GO:0003676	NA	NA	G3DSA:3.30.420.10	NA	SSF53098	SM00479	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51497.1	IPR037523	NA	PS51819	PF00903	G3DSA:3.10.180.10	NA	SSF54593	NA	NA	cd07267	NA	NA	NA	NA	NA	NA	NA
PTB48773.1	IPR004813	GO:0055085	NA	PF03169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00728	NA	NA
PTB55334.1	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	NA	PF00067	G3DSA:1.10.630.10	NA	SSF48264	NA	NA	NA	PR00465;PR00385	NA	NA	NA	NA	NA	NA
