Gene	interpro	GO	SMART	ProSiteProfiles	SUPERFAMILY	CDD	Gene3D	Pfam	MobiDBLite	PATHWAY	ProSitePatterns	Coils	PRINTS	TIGRFAM	PIRSF	SFLD	Hamap
PTB38024.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SM00066	PS50048	SSF57701	cd00067	G3DSA:4.10.240.10	PF00172	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB35896.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB42221.1	IPR020846	GO:0055085	NA	PS50850	SSF103473	cd17327	G3DSA:1.20.1250.20	PF07690	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB46221.1	IPR036259	GO:0055085	NA	NA	SSF103473	cd17325	NA	PF07690	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB41925.1	IPR006603	NA	NA	NA	NA	NA	NA	PF04193	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB37318.1	IPR016040		NA	NA	SSF51735	NA	G3DSA:3.40.50.720	PF13460;PF05368	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA
PTB41272.1	IPR019510	NA	NA	NA	NA	NA	NA	PF10469	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB37986.1	IPR019826	NA	NA	NA	SSF53474	NA	G3DSA:3.40.50.1820	PF00135	NA	NA	PS00122	NA	NA	NA	NA	NA	NA
PTB41447.1	IPR019775	GO:0005515	SM00320	PS50082;PS50837;PS50294	SSF52540;SSF50998	cd00200	G3DSA:3.40.50.300;G3DSA:2.130.10.10	PF05729;PF00400	NA	NA	PS00678	Coil	PR00320	NA	NA	NA	NA
PTB43101.1	IPR000961	GO:0004674;GO:0005524;GO:0006468;GO:0004672	SM00133;SM00220	PS51285;PS50011	SSF56112	cd05123	G3DSA:1.10.510.10;G3DSA:3.30.200.20	PF00069	mobidb-lite	NA	PS00108	NA	NA	NA	NA	NA	NA
PTB47223.1	IPR011004	NA	NA	NA	SSF51161	NA	G3DSA:2.160.10.10	PF00132	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB40230.1	IPR036812	GO:0016491;GO:0055114	NA	NA	SSF51430	cd06660	G3DSA:3.20.20.100	PF00248	NA	NA	NA	NA	PR00069	NA	NA	NA	NA
PTB42762.1	IPR005016	GO:0016020	NA	NA	NA	NA	NA	PF03348	NA	Reactome: R-HSA-977347	NA	NA	NA	NA	NA	NA	NA
