Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
PTB61393.1	GH55(1-420)	GH55	GH55	N	3
PTB61412.1	GH31(1-404)	GH31	GH31	N	3
PTB61429.1	GH55(1-455)	GH55	GH55	N	3
PTB61529.1	GH76(2-232)	GH76	N	N	2
PTB61541.1	CE10(54-203)	N	N	N	1
PTB61654.1	GH35(52-383)	GH35	GH35	N	3
PTB61683.1	GH3(90-312)	GH3	GH3	N	3
PTB61684.1	GH71(45-435)+CBM24(533-602)	GH71+CBM24	CBM24+GH71	N	3
PTB61697.1	GH62(25-293)	GH62	GH62	N	3
PTB61699.1	GH71(45-435)+CBM24(545-624)	GH71+CBM24	CBM24+GH71	N	3
PTB61732.1	GT4(447-616)	N	GT4	N	2
PTB61747.1	AA3(13-535)	AA3	AA3_2	N	3
PTB61750.1	GH18(39-334)	GH18	GH18	N	3
PTB61761.1	GH13_8(236-529)	GH13+CBM48	CBM48+GH13_8	N	3
PTB61845.1	GH16(70-296)	N	GH16	N	2
PTB61846.1	GH64(4-379)	GH64	GH64	N	3
PTB61882.1	GH16(15-204)	N	N	N	1
PTB61883.1	GH39(122-285)	GH39	N	N	2
PTB61887.1	GH11(56-224)	GH11	N	N	2
PTB61888.1	GH28(54-376)	GH28	GH28	N	3
PTB61924.1	GT20(10-478)	GT20	GT20	N	3
PTB62008.1	GH76(26-408)	GH76	GH76	N	3
PTB62013.1	GH25(26-205)	GH25	N	N	2
PTB62029.1	GT90(558-825)	GT90	GT90	N	3
PTB62045.1	GH11(57-220)	GH11	N	N	2
PTB62082.1	GH31(248-805)	GH31	GH31	N	3
PTB62087.1	GH3(34-245)	GH3	GH3	N	3
PTB62096.1	GH28(35-375)	GH28	N	N	2
PTB62097.1	GH28(72-415)	GH28	GH28	N	3
PTB62108.1	AA2(48-199)	N	N	N	1
PTB62220.1	GH18(32-269)	GH18	GH18	N	3
PTB62248.1	CE10(106-242)	N	N	N	1
PTB62284.1	AA2(69-211)	N	N	N	1
PTB62289.1	CE5(29-232)	CE5	N	N	2
PTB62298.1	AA3(2-575)	AA3	AA3_2	N	3
PTB62315.1	GH43_11(4-294)	GH43	GH43_11	N	3
PTB62316.1	CE10(62-236)	N	N	N	1
PTB62321.1	GH92(262-771)	GH92	GH92	N	3
PTB62334.1	GT1(322-510)	N	N	N	1
PTB62337.1	AA7(129-331)	N	AA7	N	2
PTB62371.1	GH1(6-477)	GH1	GH1	N	3
PTB62388.1	GH5_12(15-549)	GH5	GH5_12	N	3
PTB62415.1	AA3_2(12-590)	AA3+AA8	AA3_2	N	3
PTB62533.1	GH27(13-355)	GH27	GH27	N	3
PTB62535.1	AA7(37-467)	AA7	N	N	2
PTB62552.1	GT57(55-552)	GT57	GT57	N	3
PTB62595.1	GH37(45-624)	GH37	GH37	N	3
PTB62601.1	GT69(104-345)	GT69	GT69	N	3
PTB62604.1	GH12(137-210)	GH12	N	N	2
PTB62620.1	GT90(600-880)	GT90	GT90	N	3
PTB62659.1	GH3(102-316)	GH3	GH3	N	3
PTB62663.1	PL7_4(31-249)	PL7	N	N	2
PTB62664.1	GH75(8-251)	GH75	N	N	2
PTB62694.1	AA7(55-493)	N	N	N	1
PTB62695.1	GH16(79-242)	GH16	GH16	N	3
PTB62698.1	CBM13(6-143)	N	N	N	1
PTB62699.1	CE1(54-219)	CE1	N	N	2
PTB62702.1	AA1_2(36-375)	AA1	AA1_2	N	3
PTB62710.1	GT1(197-518)	GT1	GT1	N	3
PTB62721.1	GH18(30-271)	GH18+CBM1	CBM1+GH18	N	3
PTB62722.1	AA3_3(14-650)	AA3	AA3_3	N	3
PTB62738.1	GH54(23-337)+CBM42(355-494)	GH54+CBM42	CBM42+GH54	N	3
PTB62747.1	AA3_2(3-545)	AA3+AA8	N	N	2
PTB62789.1	GH67(23-703)	GH67	GH67	N	3
