Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
RFU71738.1	GH64(3-172)	N	N	N	1
RFU71792.1	GT69(2-250)	GT69	GT69	N	3
RFU71858.1	CBM21(323-431)	CBM21	CBM21	N	3
RFU71881.1	GH76(20-388)	GH76	N	N	2
RFU71884.1	GH28(83-432)	GH28	GH28	N	3
RFU71913.1	CE10(108-256)	N	N	N	1
RFU71934.1	GH3(34-245)	GH3	GH3	N	3
RFU71988.1	GH16(152-336)	N	GH16	N	2
RFU71996.1	CE10(17-260)	N	N	N	1
RFU72022.1	CE10(143-395)	N	N	N	1
RFU72026.1	GT32(112-192)	N	N	N	1
RFU72087.1	GT8(4-282)	GT8	GT8	N	3
RFU72269.1	GT2(116-255)	GT2	GT2	N	3
RFU72271.1	GH2(56-486)	GH2	GH2	N	3
RFU72322.1	CE10(406-629)	N	N	N	1
RFU72352.1	AA5(5-508)	AA5	AA5_1	N	3
RFU72389.1	AA2(69-257)	N	N	N	1
RFU72393.1	CE5(29-240)	CE5	N	N	2
RFU72408.1	GT33(53-466)	GT33	GT33	N	3
RFU72424.1	AA3_2(8-599)	AA3	AA3	N	3
RFU72466.1	GH76(1-324)	GH76	N	N	2
RFU72507.1	GH63(587-798)	GH63	GH63	N	3
RFU72516.1	AA3(214-731)	AA3	N	N	2
RFU72543.1	GH18(28-268)	GH18	CBM1+GH18	N	3
RFU72544.1	AA3_3(14-650)	AA3	AA3_3	N	3
RFU72619.1	GH132(6-306)	GH132	N	N	2
RFU72633.1	GT1(204-519)	N	N	N	1
RFU72635.1	GH5_5(89-386)	GH5+CBM1	CBM1+GH5_5	N	3
RFU72644.1	CE10(13-199)	N	N	N	1
RFU72699.1	PL20(1-231)	PL20	N	N	2
RFU72705.1	GH2(16-819)	GH2	GH2	N	3
RFU72709.1	GH16(85-244)	GH16	N	N	2
RFU72782.1	GH16(37-322)	N	N	N	1
RFU72913.1	GH47(114-553)	GH47	GH47	N	3
RFU72926.1	GH128(46-283)	GH128	N	N	2
RFU72969.1	GH18(170-524)	GH18	GH18	N	3
RFU72980.1	AA3_2(10-578)	AA3+AA8	AA3_2	N	3
RFU73005.1	GH51(205-618)	GH51	GH51	N	3
RFU73061.1	GH47(98-547)+AA12(670-997)	GH47+AA12	GH47	N	3
RFU73066.1	GH15(285-658)	GH15	GH15	N	3
RFU73096.1	GH64(4-123)	N	N	N	1
RFU73106.1	GH43_11(4-295)	GH43	GH43_11	N	3
RFU73107.1	CE10(86-235)	N	N	N	1
RFU73112.1	GH92(869-1378)	GH92	GH92	N	3
RFU73116.1	GT54(76-244)	N	N	N	1
RFU73136.1	GT34(66-291)	GT34	N	N	2
RFU73184.1	GT4(214-345)	GT4	GT4	N	3
RFU73247.1	GH114(93-287)	GH114	N	N	2
RFU73285.1	CE4(44-149)	N	N	N	1
RFU73301.1	GT39(68-306)	GT39	GT39	N	3
RFU73323.1	AA7(35-214)	N	N	N	1
RFU73377.1	CE16(25-324)	CE16	N	N	2
RFU73379.1	GH5_31(43-313)	N	N	N	1
RFU73382.1	CE10(28-178)	N	N	N	1
RFU73421.1	GT22(26-515)	GT22	GT22	N	3
RFU73516.1	GH36(27-717)	GH36	GH36	N	3
RFU73565.1	GH16(98-320)	N	N	N	1
RFU73668.1	GT15(74-356)	GT15	GT15	N	3
RFU73682.1	CE3(63-263)	CE3	N	N	2
RFU73685.1	GT20(149-624)	N	GT20	N	2
RFU73736.1	GT3(41-672)	GT3	GT3	N	3
RFU73785.1	GH71(42-427)	GH71	GH71	N	3
RFU73825.1	AA7(67-495)	N	N	N	1
RFU73857.1	AA7(130-307)	N	N	N	1
RFU73864.1	GH105(42-333)	N	N	N	1
RFU73917.1	GT20(21-551)	GT20	GT20	N	3
RFU73927.1	GH5_7(60-305)	GH5	CBM1+GH5_7	N	3
RFU73937.1	GT64(103-348)	N	N	N	1
RFU73949.1	GT1(940-1356)	GT1	GT1	N	3
RFU73983.1	GH125(600-1034)	GH125	GH125	N	3
RFU74012.1	CE5(32-226)	N	N	N	1
RFU74045.1	CE10(112-266)	N	N	N	1
RFU74053.1	GH47(103-555)	GH47	GH47	N	3
RFU74069.1	GH5_24(156-470)	GH5	GH5_24	N	3
RFU74188.1	GT22(1-247)	N	GT22	N	2
RFU74197.1	GH128(45-278)	GH128	N	N	2
RFU74231.1	CE1(515-750)	N	N	N	1
RFU74278.1	GT2(846-938)	GT2	GT2	N	3
RFU74298.1	GH54(26-341)+CBM42(362-502)	GH54+CBM42	CBM42+GH54	N	3
RFU74332.1	GH75(8-253)	GH18+GH75	N	N	2
RFU74335.1	PL8(769-1010)	N	N	N	1
RFU74337.1	GT4(247-404)	GT4	GT4	N	3
RFU74367.1	GH71(46-436)	GH71	CBM24+GH71	N	3
RFU74376.1	GH20(181-526)	GH20	GH20	N	3
RFU74425.1	GT8(13-232)	GT8	GT8	N	3
RFU74451.1	GT71(152-408)	GT71	GT71	N	3
RFU74476.1	GH5_9(370-694)	GH5	GH5_9	N	3
RFU74543.1	GH16(44-282)	GH16	N	N	2
RFU74599.1	GH55(30-756)	GH55	GH55	N	3
RFU74636.1	GH16(102-366)	GH16	GH16	N	3
RFU74688.1	GH24(108-250)	GH24	N	N	2
RFU74726.1	GT69(200-454)	N	GT69	N	2
RFU74754.1	AA7(131-340)	N	N	N	1
RFU74857.1	GH1(6-443)	GH1	GH1	N	3
RFU74865.1	GH18(33-303)	GH18	GH18	N	3
RFU74876.1	GH95(273-572)	GH95	GH95	N	3
RFU74877.1	GH28(204-456)	GH28	GH28	N	3
RFU74878.1	GH2(40-901)	GH2	GH2	N	3
RFU74908.1	AA3_2(4-544)	AA3	AA3_2	N	3
RFU74914.1	GH93(44-296)	GH33+GH93	N	N	2
RFU74933.1	GT1(248-574)	GT1	GT1	N	3
RFU74954.1	GT22(2-429)	GT22	GT22	N	3
RFU74968.1	GH3(99-320)	GH3	GH3	N	3
RFU74993.1	GH55(30-774)	GH28+GH55	GH55	N	3
RFU75002.1	CE5(32-237)	CE5+CBM1	N	N	2
RFU75051.1	GH79(24-410)	GH79	N	N	2
RFU75055.1	GH92(264-783)	GH92	GH92	N	3
RFU75063.1	GT35(163-878)	GT35	GT35	N	3
RFU75107.1	GH13_40(33-393)	GH13	GH13_40	N	3
RFU75188.1	PL7_4(29-248)	PL7	N	N	2
