Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
PKK38612.1	AA12(33-425)	AA12	AA12	N	3
PKK40666.1	GH47(116-587)	GH47	GH47	N	3
PKK40780.1	GT34(153-417)	GT34	GT34	N	3
PKK40892.1	CE10(117-278)	N	N	N	1
PKK40938.1	GH63(588-799)	GH63	GH63	N	3
PKK40941.1	GH62(24-292)	GH62	GH62	N	3
PKK40970.1	GH16(84-244)	GH16	GH16	N	3
PKK40980.1	CE3(49-249)	CE3	N	N	2
PKK41110.1	CBM21(320-428)	CBM21	CBM21	N	3
PKK41141.1	AA9(7-233)	N	AA9	N	2
PKK41153.1	GH47(80-568)	GH47	GH47	N	3
PKK41251.1	GH18(34-309)	N	CBM1	N	2
PKK41316.1	GH3(82-295)	GH3	GH3	N	3
PKK41353.1	CE3(23-217)	CE3	CE3	N	3
PKK41407.1	GH72(19-295)	GH72	GH72	N	3
PKK41464.1	AA7(64-498)	N	N	N	1
PKK41527.1	GT32(112-193)	N	N	N	1
PKK41546.1	GH79(41-339)	N	N	N	1
PKK41552.1	GH55(54-796)	GH55	GH55	N	3
PKK41618.1	CE9(18-408)	CE9	CE9	N	3
PKK41751.1	GT57(65-296)+GT57(334-566)	GT57	GT57	N	3
PKK41758.1	GH43_29(20-300)+CBM6(319-444)	GH43	CBM6	N	3
PKK41759.1	GH43_36(24-296)	GH43	GH43_36	N	3
PKK41767.1	GH125(13-312)	GH125	GH125	N	3
PKK41783.1	GH47(228-436)	GH47	GH47	N	3
PKK41796.1	GH30_3(57-474)	GH30	GH30_3	N	3
PKK41816.1	CE3(89-286)	CE3	CE3	N	3
PKK41885.1	GT62(84-347)	GT62	GT62	N	3
PKK42027.1	GH13_1(58-346)	N	GH13_1	N	2
PKK42035.1	GH71(196-579)	N	N	N	1
PKK42053.1	CE10(62-325)	N	N	N	1
PKK42142.1	GH132(57-314)	GH132	GH132	N	3
PKK42178.1	AA3_2(7-562)	AA3	AA3_2	N	3
PKK42201.1	GH18(450-790)	GH18+CBM18+CBM50	CBM18	N	3
PKK42230.1	AA3_2(31-605)	AA3	AA3_2	N	3
PKK42259.1	GH2(19-559)	GH2	GH2	N	3
PKK42288.1	GH64(3-377)	GH64	GH64	N	3
PKK42290.1	GH16(110-292)	N	GH16	N	2
PKK42291.1	GH47(37-579)	GH47	GH47	N	3
PKK42433.1	GT22(7-415)	GT22	GT22	N	3
PKK42452.1	GH1(6-477)	GH1	GH1	N	3
PKK42508.1	GH154(21-373)	N	GH154	N	2
PKK42522.1	GH31(208-657)	GH31	GH31	N	3
PKK42554.1	GH18(33-330)	CBM1	CBM1	N	3
PKK42574.1	GH105(47-369)	GH105	GH105	N	3
PKK42577.1	GH6(140-431)	GH6	CBM1	N	3
PKK42589.1	AA2(69-243)	N	N	N	1
PKK42654.1	GH76(21-388)	GH76	N	N	2
PKK42680.1	GH76(31-402)	GH76	GH76	N	3
PKK42731.1	GH114(89-283)	GH114	N	N	2
PKK42735.1	CE10(96-263)	N	N	N	1
PKK42738.1	GH1(164-635)	GH1	GH1	N	3
PKK42755.1	CE5(22-229)	CE5	N	N	2
PKK42760.1	CE5(78-244)	CE5	CE5	N	3
PKK42787.1	AA7(58-256)	N	N	N	1
PKK42807.1	GT2_Chitin_synth_1(235-397)	GT2	GT2	N	3
PKK42857.1	GT39(61-306)	GT39	GT39	N	3
PKK42908.1	GH16(81-223)	GH16	GH16	N	3
PKK42963.1	AA7(36-245)	N	N	N	1
PKK43036.1	GH115(20-630)	GH115	GH115	N	3
PKK43041.1	GH81(27-707)	GH81	GH81	N	3
PKK43057.1	CE3(60-249)	CE3	CE3	N	3
PKK43114.1	GH3(107-331)	GH3	GH3	N	3
PKK43116.1	GH54(28-344)+CBM42(365-505)	GH54+CBM42	CBM42	N	3
PKK43186.1	GT2_Chitin_synth_1(279-441)+GT2_Chitin_synth_2(419-632)	GT2	GT2	N	3
PKK43194.1	AA7(36-214)	N	N	N	1
PKK43217.1	CE10(412-687)	N	N	N	1
PKK43237.1	GH16(149-437)	GH16	GH16	N	3
PKK43239.1	GT2_Glyco_trans_2_3(513-722)	GT0	GT0	N	3
PKK43269.1	GH37(143-706)	GH37	GH37	N	3
PKK43312.1	AA7(135-554)	N	N	N	1
PKK43335.1	GT59(68-610)	GT59	GT59	N	3
PKK43337.1	CE10(36-298)	N	N	N	1
PKK43360.1	GH62(29-297)	GH62	CBM1	N	3
PKK43376.1	GH16(40-300)	GH16	GH16	N	3
PKK43383.1	GT2_Glyco_trans_2_3(265-530)	N	N	N	1
PKK43408.1	AA7(311-554)	N	N	N	1
