Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
augustus_masked-RZGP01000001.1-processed-gene-10.21-mRNA-1	AA3_2(1-492)	AA3	AA3_2	N	3
augustus_masked-RZGP01000001.1-processed-gene-4.166-mRNA-1	PL7_4(30-243)	PL7	N	N	2
augustus_masked-RZGP01000002.1-processed-gene-13.9-mRNA-1	GT8(13-282)	GT8	N	N	2
augustus_masked-RZGP01000002.1-processed-gene-14.71-mRNA-1	GH43(33-314)+CBM66(332-483)	GH43	CBM66+GH43_34	N	3
augustus_masked-RZGP01000002.1-processed-gene-34.18-mRNA-1	AA6(5-200)	AA6	N	N	2
augustus_masked-RZGP01000002.1-processed-gene-55.62-mRNA-1	GH1(5-477)	GH1	GH1	N	3
augustus_masked-RZGP01000002.1-processed-gene-69.176-mRNA-1	GH16(33-280)	GH16	N	N	2
augustus_masked-RZGP01000002.1-processed-gene-70.32-mRNA-1	GH31(247-807)	GH31	GH31	N	3
augustus_masked-RZGP01000002.1-processed-gene-73.42-mRNA-1	GH71(47-436)+CBM24(533-605)	GH71	CBM24+GH71	N	3
augustus_masked-RZGP01000003.1-processed-gene-12.33-mRNA-1	GH20(183-558)	GH20	GH20	N	3
augustus_masked-RZGP01000003.1-processed-gene-4.73-mRNA-1	GH81(65-677)	GH81	GH81	N	3
augustus_masked-RZGP01000003.1-processed-gene-44.17-mRNA-1	GH128(42-262)	GH128	N	N	2
augustus_masked-RZGP01000004.1-processed-gene-16.99-mRNA-1	AA7(59-249)	N	N	N	1
augustus_masked-RZGP01000005.1-processed-gene-13.132-mRNA-1	PL20(25-258)	PL20	N	N	2
augustus_masked-RZGP01000005.1-processed-gene-21.109-mRNA-1	GH32(1-287)	GH32	GH32	N	3
augustus_masked-RZGP01000005.1-processed-gene-21.114-mRNA-1	GH128(229-440)	GH128	N	N	2
augustus_masked-RZGP01000005.1-processed-gene-23.12-mRNA-1	PL20(24-257)	PL20	N	N	2
augustus_masked-RZGP01000005.1-processed-gene-29.3-mRNA-1	AA3_2(12-581)	AA3+AA8	AA3_2	N	3
augustus_masked-RZGP01000005.1-processed-gene-3.76-mRNA-1	GH18(12-263)	N	GH18	N	2
augustus_masked-RZGP01000005.1-processed-gene-30.130-mRNA-1	GT17(71-364)	GT17	GT17	N	3
augustus_masked-RZGP01000005.1-processed-gene-37.114-mRNA-1	GH64(4-371)	GH64	GH64	N	3
augustus_masked-RZGP01000006.1-processed-gene-23.1-mRNA-1	AA2(89-338)	N	N	N	1
augustus_masked-RZGP01000006.1-processed-gene-3.2-mRNA-1	GH92(491-1011)	GH92	GH92	N	3
augustus_masked-RZGP01000006.1-processed-gene-38.45-mRNA-1	CE10(32-309)	N	N	N	1
augustus_masked-RZGP01000006.1-processed-gene-41.9-mRNA-1	PL7_4(29-247)	PL7	N	N	2
augustus_masked-RZGP01000006.1-processed-gene-45.141-mRNA-1	AA7(55-268)	N	N	N	1
augustus_masked-RZGP01000007.1-processed-gene-26.206-mRNA-1	AA11(36-213)	AA11	N	N	2
augustus_masked-RZGP01000007.1-processed-gene-26.213-mRNA-1	GH76(28-396)	GH76	GH76	N	3
augustus_masked-RZGP01000007.1-processed-gene-33.14-mRNA-1	GH76(28-382)	GH76	GH76	N	3
augustus_masked-RZGP01000007.1-processed-gene-41.119-mRNA-1	GH71(27-395)	GH71	CBM24+GH71	N	3
augustus_masked-RZGP01000007.1-processed-gene-47.139-mRNA-1	GH13_1(58-346)	GH13	GH13_1	N	3
augustus_masked-RZGP01000008.1-processed-gene-2.98-mRNA-1	GH5_31(48-324)	N	N	N	1
augustus_masked-RZGP01000008.1-processed-gene-22.211-mRNA-1	GH16(90-327)	GH16	GH16	N	3
augustus_masked-RZGP01000008.1-processed-gene-36.109-mRNA-1	CE3(13-206)	CE3	N	N	2
augustus_masked-RZGP01000008.1-processed-gene-49.9-mRNA-1	PL7_4(39-249)	PL7	N	N	2
augustus_masked-RZGP01000008.1-processed-gene-59.95-mRNA-1	GH71(39-416)	GH71	GH71	N	3
augustus_masked-RZGP01000008.1-processed-gene-62.8-mRNA-1	GH75(7-227)	GH75	N	N	2
augustus_masked-RZGP01000008.1-processed-gene-8.165-mRNA-1	GH55(38-781)	GH28+GH55	GH55	N	3
augustus_masked-RZGP01000011.1-processed-gene-5.5-mRNA-1	GT32(88-165)	N	N	N	1
maker-RZGP01000001.1-augustus-gene-4.161-mRNA-1	GH16(106-263)	GH16+CBM18	CBM18+GH16	N	3
maker-RZGP01000001.1-snap-gene-11.108-mRNA-1	CE10(112-246)	N	N	N	1
maker-RZGP01000001.1-snap-gene-14.106-mRNA-1	AA7(75-267)	N	N	N	1
maker-RZGP01000001.1-snap-gene-15.175-mRNA-1	GT57(16-493)	GT57	GT57	N	3
maker-RZGP01000001.1-snap-gene-16.7-mRNA-1	AA7(134-336)	N	N	N	1
maker-RZGP01000001.1-snap-gene-2.13-mRNA-1	GH3(79-292)	GH3	GH3	N	3
maker-RZGP01000001.1-snap-gene-2.8-mRNA-1	AA7(118-557)	N	N	N	1
maker-RZGP01000001.1-snap-gene-4.190-mRNA-1	GT15(116-417)	GT15	GT15	N	3
maker-RZGP01000001.1-snap-gene-9.181-mRNA-1	GH18(77-404)	GH18	GH18	N	3
maker-RZGP01000002.1-augustus-gene-10.175-mRNA-1	GH76(34-406)	GH76	GH76	N	3
maker-RZGP01000002.1-augustus-gene-11.8-mRNA-1	AA7(71-517)	AA7	N	N	2
maker-RZGP01000002.1-augustus-gene-15.4-mRNA-1	GH72(32-331)	GH72	GH72	N	3
maker-RZGP01000002.1-augustus-gene-15.6-mRNA-1	CE1(48-228)	CE1	N	N	2
maker-RZGP01000002.1-augustus-gene-3.196-mRNA-1	GH125(94-513)	GH125	GH125	N	3
maker-RZGP01000002.1-augustus-gene-38.10-mRNA-1	GT64(93-338)	N	N	N	1
maker-RZGP01000002.1-augustus-gene-48.3-mRNA-1	GH16(84-232)	N	N	N	1
maker-RZGP01000002.1-augustus-gene-52.216-mRNA-1	GT90(383-669)	GT90	GT90	N	3
maker-RZGP01000002.1-augustus-gene-53.0-mRNA-1	GH24(25-167)	GH24	N	N	2
maker-RZGP01000002.1-augustus-gene-6.113-mRNA-1	AA7(59-268)	N	N	N	1
