# BUSCO version is: 4.0.beta1 
# The lineage dataset is: ascomycota_odb10 (Creation date: 2019-11-20, number of species: 365, number of BUSCOs: 1706)
# Busco id	Status	Sequence	Score	Length
377at4890	Complete	lcl|NW_020171365.1_cds_XP_018661165.1_4921	4704.9	3334	https://www.orthodb.org/v10?query=377at4890	Dynein heavy chain
504at4890	Complete	lcl|NW_020171350.1_cds_XP_024405799.1_1556	3633.0	2590	https://www.orthodb.org/v10?query=504at4890	Vacuolar protein sorting-associated protein
1372at4890	Complete	lcl|NW_020171371.1_cds_XP_024404949.1_6172	2333.7	2419	https://www.orthodb.org/v10?query=1372at4890	E3 ubiquitin ligase, domain of unknown function DUF908
1627at4890	Complete	lcl|NW_020171397.1_cds_XP_018656643.1_9382	3840.9	1981	https://www.orthodb.org/v10?query=1627at4890	Pre-mRNA-processing-splicing factor 8
1691at4890	Complete	lcl|NW_020171371.1_cds_XP_018656391.1_6245	3194.6	1734	https://www.orthodb.org/v10?query=1691at4890	Glutamate synthase
1872at4890	Complete	lcl|NW_020171340.1_cds_XP_018662016.1_5576	3213.0	1778	https://www.orthodb.org/v10?query=1872at4890	Acetyl-CoA carboxylase
1902at4890	Complete	lcl|NW_020171346.1_cds_XP_018665536.1_10930	1506.5	1386	https://www.orthodb.org/v10?query=1902at4890	Proteasome activator subunit 4
2239at4890	Complete	lcl|NW_020171379.1_cds_XP_024404779.1_7471	2795.4	1770	https://www.orthodb.org/v10?query=2239at4890	FKBP12-rapamycin binding domain
2241at4890	Complete	lcl|NW_020171347.1_cds_XP_018660807.2_556	4695.2	3799	https://www.orthodb.org/v10?query=2241at4890	Midasin
2629at4890	Complete	lcl|NW_020171359.1_cds_XP_024405344.1_3896	4151.7	2912	https://www.orthodb.org/v10?query=2629at4890	PIK-related kinase
2653at4890	Complete	lcl|NW_020171339.1_cds_XP_018660246.1_3434	1036.6	934	https://www.orthodb.org/v10?query=2653at4890	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
3339at4890	Complete	lcl|NW_020171377.1_cds_XP_018659848.1_7230	589.4	638	https://www.orthodb.org/v10?query=3339at4890	THO complex subunit 2
3444at4890	Complete	lcl|NW_020171409.1_cds_XP_018663863.1_10207	1758.4	1628	https://www.orthodb.org/v10?query=3444at4890	Armadillo-type fold
3488at4890	Complete	lcl|NW_020171365.1_cds_XP_018655823.1_5049	2832.7	2006	https://www.orthodb.org/v10?query=3488at4890	Ribosomal protein L19
3557at4890	Complete	lcl|NW_020171352.1_cds_XP_018658061.2_2067	1754.3	1444	https://www.orthodb.org/v10?query=3557at4890	Phosphatidylinositol 3-/4-kinase, catalytic domain
3995at4890	Complete	lcl|NW_020171385.1_cds_XP_018665677.2_7893	2095.2	1399	https://www.orthodb.org/v10?query=3995at4890	DNA-directed RNA polymerase subunit
4161at4890	Complete	lcl|NW_020171358.1_cds_XP_018656928.1_3842	373.2	546	https://www.orthodb.org/v10?query=4161at4890	Dbl homology (DH) domain
