# BUSCO version is: 4.0.beta1 
# The lineage dataset is: ascomycota_odb10 (Creation date: 2019-11-20, number of species: 365, number of BUSCOs: 1706)
# Busco id	Status	Sequence	Score	Length
377at4890	Complete	lcl|NW_011942160.1_cds_XP_007821318.1_4717	4767.9	3364	https://www.orthodb.org/v10?query=377at4890	Dynein heavy chain
504at4890	Complete	lcl|NW_011942160.1_cds_XP_007821689.1_4318	3606.7	2588	https://www.orthodb.org/v10?query=504at4890	Vacuolar protein sorting-associated protein
1372at4890	Complete	lcl|NW_011942149.1_cds_XP_007818044.2_1667	2336.7	2468	https://www.orthodb.org/v10?query=1372at4890	E3 ubiquitin ligase, domain of unknown function DUF908
1627at4890	Complete	lcl|NW_011942215.1_cds_XP_007825130.1_10665	3800.4	2012	https://www.orthodb.org/v10?query=1627at4890	Pre-mRNA-processing-splicing factor 8
1691at4890	Complete	lcl|NW_011942149.1_cds_XP_007818008.1_1704	3207.7	1751	https://www.orthodb.org/v10?query=1691at4890	Glutamate synthase
1872at4890	Complete	lcl|NW_011942160.1_cds_XP_007822277.1_3697	3200.9	1759	https://www.orthodb.org/v10?query=1872at4890	Acetyl-CoA carboxylase
1902at4890	Complete	lcl|NW_011942149.1_cds_XP_007818157.1_1552	1512.6	1368	https://www.orthodb.org/v10?query=1902at4890	Proteasome activator subunit 4
2239at4890	Complete	lcl|NW_011942149.1_cds_XP_007818577.2_1110	2781.5	1773	https://www.orthodb.org/v10?query=2239at4890	FKBP12-rapamycin binding domain
2241at4890	Complete	lcl|NW_011942160.1_cds_XP_007822156.2_3828	4710.6	3842	https://www.orthodb.org/v10?query=2241at4890	Midasin
2629at4890	Complete	lcl|NW_011942237.1_cds_XP_007817734.1_11378	4170.1	2849	https://www.orthodb.org/v10?query=2629at4890	PIK-related kinase
2653at4890	Complete	lcl|NW_011942149.1_cds_XP_007818458.2_1246	1031.6	932	https://www.orthodb.org/v10?query=2653at4890	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
3339at4890	Complete	lcl|NW_011942149.1_cds_XP_007821114.2_573	589.5	632	https://www.orthodb.org/v10?query=3339at4890	THO complex subunit 2
