KKO96407.1	MER0146924-familyS9non-peptidasehomologues(Cionasavignyi)[S09.UNW]#S09X#{peptidaseunit:1-165}~sourceENSCSAVP00000005882~	1.4e-13	31.8	170
KKO96413.1	MER0488921-familyS9unassignedpeptidases(Sordariamacrospora)[S09.UPW]#S09X#{peptidaseunit:38-320}~sourceCCC11847~	1.6e-77	47.9	290
KKO96415.1	MER0213330-familyS33unassignedpeptidases(Magnaportheoryzae)[S33.UPW]#S33#{peptidaseunit:9-347}~sourceXP_367716~	2.3e-151	74.7	340
KKO96432.1	MER0136068-familyS9non-peptidasehomologues(Batrachochytriumdendrobatidis)[S09.UNW]#S09X#{peptidaseunit:154-289}~sourceBDEG_07387~	2e-11	28.1	139
KKO96439.1	MER0228745-familyT3unassignedpeptidases(Magnaportheoryzae)[T03.UPW]#T03#{peptidaseunit:386-475}~sourceXP_001522096~	3.5e-13	44.6	92
KKO96446.1	MER0228745-familyT3unassignedpeptidases(Magnaportheoryzae)[T03.UPW]#T03#{peptidaseunit:386-475}~sourceXP_001522096~	6.2e-13	43.5	92
KKO96450.1	MER0496068-subfamilyA1Aunassignedpeptidases(Hypocreavirens)[A01.UPA]#A01A#{peptidaseunit:39-375}~sourceEHK18255~	1.3e-184	93.2	337
KKO96459.1	MER0467343-subfamilyM10Bunassignedpeptidases(Podosporaanserina)[M10.UPB]#M10B#{peptidaseunit:28-188}~sourceXP_003437436~	4.7e-23	41.8	165
KKO96465.1	MER0118072-carboxypeptidaseOcpA(Botryotiniafuckeliana)[S10.008]#S10#{peptidaseunit:54-465}~sourceCCD46023~	1.6e-123	54.3	416
KKO96506.1	MER0136039-familyS9non-peptidasehomologues(Batrachochytriumdendrobatidis)[S09.UNW]#S09X#{peptidaseunit:171-376}~sourceBDEG_06660~	5.3e-06	30.1	83
KKO96514.1	MER0630203-subfamilyA1Aunassignedpeptidases(Talaromycesemersonii)[A01.UPA]#A01A#{peptidaseunit:70-407}~sourceA0A0F4YN78~	7.8e-29	30.2	367
KKO96520.1	MER1073240-subfamilyS49Cnon-peptidasehomologues(Acinetobacterbohemicus)[S49.UNC]#S49C#{peptidaseunit:84-212}~sourceN8Q6E4~	8.5e-15	45.8	96
KKO96554.1	MER0625083-subfamilyS9Cnon-peptidasehomologues(Gibberellazeae)[S09.UNC]#S09C#{peptidaseunit:78-314}~sourceXP_389572~	1.9e-84	64.6	237
KKO96570.1	MER0032150-familyS33unassignedpeptidases(Emericellanidulans)[S33.UPW]#S33#{peptidaseunit:126-574}~sourceAN4057_1~	1.9e-105	46	474
KKO96581.1	MER0032426-subfamilyM24Bunassignedpeptidases(Aspergillusoryzae)[M24.UPB]#M24B#{peptidaseunit:181-535}~sourceAO070325000146~	7e-148	69.3	361
KKO96586.1	MER0064675-familyS33unassignedpeptidases(Gibberellazeae)[S33.UPW]#S33#{peptidaseunit:5-231}~sourceXP_390262~	7.7e-45	40.1	227
KKO96588.1	MER0314866-aorsin(Hypocreavirens)[S53.007]#S53#{peptidaseunit:218-635}~sourceEHK16283~	4.9e-129	97.1	240
KKO96612.1	MER0145925-familyS9non-peptidasehomologues(Cionasavignyi)[S09.UNW]#S09X#{peptidaseunit:177-352}~sourceENSCSAVP00000011183~	2.7e-40	46.9	179
KKO96622.1	MER0214723-familyS9unassignedpeptidases(Spirosomalinguale)[S09.UPW]#S09X#{peptidaseunit:184-417}~sourceYP_003391302~	6.6e-09	44.6	74
KKO96649.1	MER0258487-familyM41non-peptidasehomologues(Loxodontaafricana)[M41.UNW]#M41#{peptidaseunit:32-229}~sourceGENSCAN00000037143~	3.2e-23	43.8	137
KKO96662.1	MER0241307-familyS9non-peptidasehomologues(Coleofasciculuschthonoplastes)[S09.UNW]#S09X#{peptidaseunit:1288-1494}~sourceZP_05023753~	8.1e-12	29.5	217
KKO96663.1	MER0984028-subfamilyS8Anon-peptidasehomologues(Trichodermaatroviride)[S08.UNA]#S08A#{peptidaseunit:685-879}~sourceG9P5G7~	1.4e-38	43.1	195
KKO96730.1	MER0035648-Prb1peptidase(Trichodermahamatum)[S08.066]#S08A#{peptidaseunit:105-409}~sourceQ86ZV3~	2.1e-148	90.5	305
KKO96756.1	MER0310509-ATG4peptidase(Hypocreavirens)[C54.001]#C54#{peptidaseunit:118-409}~sourceEHK19044~	4.3e-163	93.8	292
KKO96766.1	MER0060272-familyS33unassignedpeptidases(Gibberellazeae)[S33.UPW]#S33#{peptidaseunit:1-279}~sourceXP_381835~	1.8e-74	48	281
KKO96796.1	MER0308564-subfamilyM14Anon-peptidasehomologues(Hypocreavirens)[M14.UNA]#M14A#{peptidaseunit:149-482}~sourceEHK15155~	3.9e-195	96.1	334
KKO96815.1	MER0209012-familyS9non-peptidasehomologues(Corynebacteriumaccolens)[S09.UNW]#S09X#{peptidaseunit:1-171}~sourceZP_03933731~	9e-16	32	178
KKO96820.1	MER0511361-familyS9non-peptidasehomologues(Macrophominaphaseolina)[S09.UNW]#S09X#{peptidaseunit:110-467}~sourceEKG12270~	8.1e-71	43.2	354
KKO96825.1	MER1177280-familyG1unassignedpeptidases(Trichodermaharzianum)[G01.UPW]#G01#{peptidaseunit:59-264}~sourceKKO96825~	2.3e-108	100	206
KKO96893.1	MER0975456-subfamilyS8Anon-peptidasehomologues(Fusariumoxysporum)[S08.UNA]#S08A#{peptidaseunit:484-729}~sourceN4UJ84~	5.5e-76	60.7	244
KKO96920.1	MER1179079-familyG1unassignedpeptidases(Trichodermaguizhouense)[G01.UPW]#G01#{peptidaseunit:62-266}~sourceOPB37025~	8.4e-114	96.6	205
KKO96923.1	MER0130472-familyS9non-peptidasehomologues(Streptosporangiumroseum)[S09.UNW]#S09X#{peptidaseunit:952-1164}~sourceGEBA2500481291~	3.1e-11	30.5	226
KKO96926.1	MER0032554-acetylcholinesterase(Aspergillusfumigatus)[S09.979]#S09X#{peptidaseunit:131-471}~sourceXP_750968~	1e-77	42.3	310
KKO96958.1	MER0211078-familyS15non-peptidasehomologues(Phaeosphaerianodorum)[S15.UNW]#S15#{peptidaseunit:57-523}~sourceXP_001805356~	2.8e-122	46.5	495
KKO96988.1	MER0727329-familyC48unassignedpeptidases(Metarhiziumguizhouense)[C48.UPW]#C48#{peptidaseunit:33-187}~sourceA0A0B4H9H9~	1.5e-79	89	155
KKO96997.1	MER0136039-familyS9non-peptidasehomologues(Batrachochytriumdendrobatidis)[S09.UNW]#S09X#{peptidaseunit:171-376}~sourceBDEG_06660~	1.4e-17	43.9	107
KKO97026.1	MER0135310-familyS9non-peptidasehomologues(Batrachochytriumdendrobatidis)[S09.UNW]#S09X#{peptidaseunit:241-408}~sourceBDEG_00552~	5.8e-16	32.7	168
KKO97054.1	MER0064647-proteasomesubunitalpha6(Gibberellazeae)[T01.971]#T01A#{peptidaseunit:34-246}~sourceXP_390431~	3.2e-107	90.1	213
KKO97058.1	MER0057464-familyS9non-peptidasehomologues(Thermobisporabispora)[S09.UNW]#S09X#{peptidaseunit:1135-1317}~sourceGEBA2500199435~	8e-25	32.4	179
KKO97062.1	MER0626102-familyS9non-peptidasehomologues(Aspergillusniger)[S09.UNW]#S09X#{peptidaseunit:20-341}~sourceXP_001400560~	6e-27	36.5	200
KKO97074.1	MER0898954-familyM54unassignedpeptidases(Hypocreavirens)[M54.UPW]#M54#{peptidaseunit:227-413}~sourceG9N4K2~	3.1e-87	80.2	187
